1.1,CPP.L1:3-04
1.1,CT.L1:6-01
1.1,CT.L1:6-02
1.1,CT.L2-03
1.1,CT.L2-06
1.2,CPP.L1:3-04
1.2,CPP.L1:6-05
1.2,CT.L1:6-01
1.2,CT.L1:6-02
1.2,CT.L2-03
1.2,CT.L2-06
1.3,CD.L1:3-01
1.3,CT.L1:3-01
1.3,CL.L1:3-02
1.3,CPP.L1:6-05
1.3,CPP.L1:6-06
1.3,CT.L2-01
1.3,CT.L2-06
1.3,CT.L2-08
1.4,CD.L1:3-01
1.4,CT.L1:3-01
1.4,CL.L1:3-02
1.4,CPP.L1:6-05
1.4,CPP.L1:6-06
1.4,CT.L2-01
1.4,CT.L2-06
1.4,CT.L2-08
1.4,CT.L2-12
1.5,CT.L1:3-01
1.5,CL.L1:3-02
1.5,CPP.L1:6-05
1.5,CPP.L1:6-06
1.5,CT.L2-01
1.5,CT.L2-06
1.5,CT.L2-08
1.5,CT.L2-12
1.6,CT.L1:3-03
1.6,CT.L1:6-01
1.6,CT.L1:6-02
1.6,CT.L1:6-05
1.6,CPP.L1:3-04
1.6,CPP.L1:6-05
1.6,CT.L2-03
1.6,CT.L2-06
1.7,CL.L1:3-02
1.7,CT. L1:3-01
1.7,CPP.L1:6-05
1.7,CPP.L1:6-06
1.7,CT.L2-01
1.7,CT.L2-06
1.7,CT.L2-06
1.7,CT.L2-12
1.8,CT.L1:3-01
1.8,CL.L1:3-02
1.8,CPP.L1:6-05
1.8,CPP.L1:6-06
1.8,CT.L2-01
1.8,CT.L2-06
1.8,CT.L2-08
1.8,CT.L2-12
1.9,CPP.L1:3-04
1.9,CT.L1:6-01
1.9,CT.L1:6-02
1.9,CT.L1:6-05
1.9,CL.L1:6-03
1.9,CL.L2-04
1.10,CL.L1:3-02
1.10,CT.L1:3-01
1.10,CPP.L1:6-05
1.10,CPP.L1:6-06
1.10,CT.L2-01
1.10,CT.L2-06
1.10,CT.L2-08
1.10,CT.L2-12
1.11,CT.L1:3-01
1.11,CL.L1:3-02
1.11,CPP.L1:6-05
1.11,CPP.L1:6-06
1.11,CT.L2-01
1.11,CT.L2-06
1.11,CT.L2-08
1.11,CT.L2-12
1.12,CT.L1:3-03
1.12,CT.L1:6-01
1.12,CT.L1:6-02
1.12,CT.L1:6-05
1.12,CPP.L1.3-04
1.12,CPP.L1:6-05
1.12,CT.L2-03
1.12,CT.L2-06
1.13,CL.L1:3-02
1.13,CT.L1:3-01
1.13,CPP.L1:6-05
1.13,CPP.L1:6-06
1.13,CT.L2-01
1.13,CT.L2-06
1.13,CT.L2-08
1.13,CT.L2-12
1.14,CT.L1:3-01
1.14,CL.L1:3-02
1.14,CPP.L1:6-05
1.14,CPP.L1:6-06
1.14,CT.L2-01
1.14,CT.L2-06
1.14,CT.L2-08
1.14,CT.L2-12
1.15,CPP.L1:3-04
1.15,CT.L1:6-01
1.15,CT.L1:6-02
1.15,CT.L1:6-05
1.15,CT.L2-06
1.16,CL.L1:3-02
1.16,CT.L1:3-01
1.16,CPP.L1:6-03
1.16,CPP.L1:6-05
1.16,CPP.L1:6-06
1.16,CT.L2-01
1.16,CT.L2-06
1.16,CT.L2-07
1.16,CT.L2-08
1.16,CT.L2-12
1.17,CI.L1:3-01
1.17,CPP.L2-06
1.18,CT.L1:3-01
1.18,CL.L1:3-02
1.18,CPP.L1:6-05
1.18,CPP.L1:6-06
1.18,CT.L2-01
1.18,CT.L2-06
1.18,CT.L2-08
1.18,CT.L2-12
1.18,CT.L3A-03
2.1,CPP.L1:3-04
2.1,CPP.L1:6-05
2.1,CT.L1:3-03
2.1,CT.L1:6-01
2.1,CT.L1:6-02
2.1,CT.L2-07
2.2,CT.L1:3-03
2.2,CT.L1:6-01
2.2,CT.L1:6-02
2.2,CT.L1:6-05
2.2,CPP.L1:3-04
2.2,CPP.L1:6-05
2.2,CT.L2-03
2.2,CT.L2-06
2.3,CD.L1:3-01
2.3,CT.L1:3-01
2.3,CL.L1:3-02
2.3,CPP.L1:6-05
2.3,CPP.L1:6-06
2.3,CT.L2-01
2.3,CT.L2-06
2.3,CT.L2-08
2.3,CT.L2-12
2.4,CT.L1:3-01
2.4,CL.L1:3-02
2.4,CPP.L1:6-05
2.4,CPP.L1:6-06
2.4,CT.L2-01
2.4,CT.L2-06
2.4,CT.L2-08
2.4,CT.L2-12
2.5,CT.L1:3-03
2.5,CT.L1:6-01
2.5,CT.L1:6-02
2.5,CT.L1:6-05
2.5,CPP.L1:3-04
2.5,CPP.L1:6-05
2.5,CT.L2-03
2.5,CT.L2-06
2.5,CT.L3A-03
2.6,CL.L1:3-02
2.6,CT.L1:3-01
2.6,CPP.L1:6-05
2.6,CPP.L1:6-06
2.6,CT.L2-01
2.6,CT.L2-06
2.6,CT.L2-08
2.6,CT.L2-12
2.6,CT.L3A-03
2.7,CT.L1:3-01
2.7,CL.L1:3-02
2.7,CPP.L1:6-05
